VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab17 - Yeah 1,VTVCab2 - PhimViet,VTVCab6 - HayTV,VTVCab7 - D Dramas,VTVCab8 - BiBi,VTVLive
13:05 - Cà phê khởi nghiệp -  ,12:35 - Về quê -  ,16:45 - Mỗi ngày một niềm vui -  ,12:30 - Dân ca nhạc cổ - Lắng đọng khúc hát văn,15:30 - 360 độ Nhật Bản - Tập 1,21:10 - Tiếng hát trong trái tim đồng bào - Hoa núi,23:15 - Nào cùng phong cách - Số 84,18:00 - Phim hoạt hình - Chú rô bốt của tôi - Tập 14,17:50 - Thông tin - Thông báo -  ,12:45 - Sân khấu hài - Nước mắm,16:10 - Thông tin tiêu dùng Giải Trí -  ,17:00 - Tình thù ngiệt ngã - Số 140,,,,20:00 - Phim hoạt hình - Thế giới của Zou - Tập 22,17:15 - Phim truyện - Sống chung với mẹ chồng – Tập 26
13:10 - Phim truyện - Vẫn là vợ chồng - Tập 44,12:45 - Nhà nông vui vẻ - Nhà nông vui vẻ - tập 60,16:58 - Thời tiết -  ,13:00 - Ký sự - Huyền sử Ô Lâu - Tập 9,16:00 - VTV5 kết nối -  ,21:40 - Sản vật phương Nam - Bánh tét Trà Cuôn,23:40 - Thể thao - Tạp chí bóng đá thế giới,18:30 - Trường học VTV7 (Trung học) - Chuyện trường tôi - Số 9; Con đường nghề nghiệp - Số 12,18:00 - Bản tin -  ,13:10 - Phim truyện - Tuổi thanh xuân của Băng và Lửa - Tập 17,16:15 - Người chồng hai mặt - Tập 26,18:00 - Ống kính - Số 333,,,,20:30 - Phim hoạt hình - Thợ săn trứng rồng - Tập 6,18:00 - Học tiếng Anh qua bài hát - Girl on fire
14:00 - Ký sự - Từ những miền quê: Đầm Thị Tường,13:00 - An ninh và Cuộc sống -  ,17:00 - Thông tin 260 -  ,13:15 - Phim truyện - Thảm đỏ - Tập 6,16:15 - Vì cộng đồng - Lớp học vì cộng đồng,22:00 - Phim truyện - Tết này ta có nhau - Tập 3,,19:00 - Trường học VTV7 (Tiểu học) - Cuốn sách của em - Số 6: Bộ sách Cerdic; 5 từ mới tiếng Anh mỗi ngày - Số 5: Gia vị,18:40 - Kết nối miền Trung -  ,14:00 - Khám phá thế giới - Jeju - vùng đất diệu kỳ,17:00 - Trái tim trong sáng - Tập 75,18:15 - Ống kính - Số 334,,,,21:00 - Phim hoạt hình - Những người bạn thông thái - Tập 64,"18:15 - Giai điệu kết nối - Dịch giả, Chuyên gia truyền thông Nguyễn Đình Thành"
14:15 - 90 phút để hiểu -  ,13:30 - Sống như những đóa hoa - Những tấm gương thiện nguyện vì cộng đồng,17:10 - Cái lý - Cái tình - Số 13,14:00 - Giai điệu cuộc sống - Khúc xuân ca,16:30 - Ca nhạc -  ,23:00 - Hài dân gian - Gã keo kiệt - Tập 2,,19:30 - Trường học VTV7 (Mầm non) - Lớp học cầu vòng - Số 2: Vũ trụ,18:50 - 365 Biz -  ,14:25 - Phóng sự - Cảnh giác nạn trộm cắp những ngày Tết,18:00 - Trái tim trong sáng - Tập 76,18:30 - Đò dọc - Số 06,,,,21:30 - Ngôi sao Bibi - Số 10,18:45 - 8 IELTS - Moive
15:15 - Tác phẩm mới - Tết nhớ đảo xa,14:00 - Bạn của nhà nông - Phòng chống sâu bệnh cho rau mầu vụ đông xuân,"17:15 - Phim truyện - Quan huyện Trịnh Bản Kiều - Tập 35, 36",14:15 - Bí mật của tạo hóa - Giữ gìn danh hiệu hoa hậu,17:00 - Phim truyện - Ngự lâm không kiếm - Tập 8,23:30 - Chuyện nghề - Trống người Dao đỏ,,20:00 - Mẹ ơi tại sao? - Số 6,18:55 - Góc bếp quê nhà - Món thịt heo ngâm nước mắm,14:40 - Biệt đội tất tần tật -  ,19:00 - Biết yêu em rồi - Tập 7,19:30 - Câu chuyện mẹ tôi - Số 49,,,,22:00 - Phim hoạt hình - Chú chó biết nói - Tập 10,19:30 - Nhà cười - Nhà cười – 02/3/2017
"15:30 - Phim tài liệu - Đình Vũ - Cát Hải, cây cầu vượt biển dài nhất Việt Nam",14:30 - Khám phá thế giới - Sức mạnh kỳ diệu của con người - Phần 6,18:50 - Thời tiết này đi đâu -  ,15:00 - Bản tin tiếng Anh -  ,17:45 - Khám phá Việt Nam -  ,,,20:15 - Ú òa -  ,19:00 - Phim truyện - Ánh đèn nơi thành thị - Tập 13,15:00 - Dân ca nhạc cổ - Tiếng xuân,20:00 - Nơi nào anh có em - Tập 12,20:30 - Lớp học vui nhộn nhí - Số 13,,,,22:30 - Phim hoạt hình - Sam siêu đẳng - Tập 10,20:30 - Ghế không tựa - MC Đan Lê
16:00 - Thời sự 16h -  ,15:00 - Những mảnh ghép của cuộc sống - Văn minh vật chất của người Việt - Tập 2,18:55 - MV yêu thích - Tập 244: Hương sắc ngày tết,15:30 - Việt Nam - Đất nước - Con người - Ước vọng ngày xuân,18:00 - Thời sự -  ,,,20:30 - Bay lên những ước mơ -  ,19:30 - Chuyện biển chuyện người - Làng tỷ phú nơi cửa biển,15:30 - Bay bổng Phương Nam - Về nơi cuối trời Tổ quốc,21:00 - Mây họa ánh trăng - Tập 8,21:00 - Cổ kiếm kỳ đàm - Số 43,,,,23:00 - Phim hoạt hình - Lũ trẻ tinh nghịch T19,21:00 - Phim truyện - Sống chung với mẹ chồng – Tập 26
16:15 - Truyền hình Công thương - Dấu ấn ngành Công Thương trong năm 2017,15:30 - Khám phá thế giới - Sự kỳ diệu của phỏng sinh học - Phần 2,19:00 - Thời sự -  ,15:55 - Trong sáng cùng tiếng Việt -  ,18:20 - Bản tin thời tiết -  ,,,21:00 - IELTS FACE OFF -  ,19:45 - Thông tin - Thông báo -  ,15:45 - Khi các thánh xa nhà -  ,22:00 - Hai người mẹ - Tập 42,22:00 - Siêu thị âm nhạc - Số 116,,,,23:30 - Phim hoạt hình - Cô bé bướng bỉnh - Tập 22,21:45 - Biệt đội phong cách - Biệt đội phong cách - 15/01/2017
16:30 - Tạp chí Kinh tế cuối tuần -  ,16:15 - Sắc màu các dân tộc - Sử thi Raglai,19:55 - V - Việt Nam -  ,16:00 - Phim truyện - Nữ cảnh sát tập sự - Tập 39,18:25 - Bản tin thị trường -  ,,,21:30 - 7 phút cho bữa sáng - Bò bít tết phủ sốt BBQ,19:50 - Bản tin giá cả thị trường -  ,16:00 - Bản tin -  ,23:00 - Khám phá Malaysia cùng Martin Yan Phần 2 - Tập 8,23:00 - Bạn muốn hẹn hò - Số 57,,,,,22:35 - Đường lên đỉnh Olympia - Đường lên đỉnh Olympia - 17/9/2017
17:00 - Thế giới kết nối -  ,16:43 - Thông báo - Ghi ơn -  ,20:00 - Phim truyện - Xin chào hạnh phúc - Tập 126: Tết chờ - Phần 2,16:45 - Giai điệu cuộc sống - Xuân xứ Huế,"18:30 - Phim hoạt hình - Wizard Mutterl - Pháp sư giấu mặt - Tập 17, 18",,,21:40 - Đẹp hơn mỗi ngày - Trang điểm cho người bận rộn,20:00 - Món ngon mỗi ngày - Cà tím kẹp thịt gà chiên,16:10 - Phim truyện - Giới văn phòng Hoa Lệ - Tập 19,23:30 - Sao và Sự Kiện - Tập 295,23:30 - Acoustic live - Số 15,,,,,23:15 - Chuyện đêm muộn - Chuyện đêm muộn - 06/10/2017
"17:20 - Lao động và công đoàn - Chăm lo tết cho người có công, gia đình chính sách",16:45 - Khám phá - Cầu Rồng Đà Nẵng - Tập 2,20:30 - Ai là triệu phú - Số 7,17:00 - Chúng tôi là chiến sĩ -  ,"19:00 - Phim truyện - Hai lúa - Tập 3, 4",,,21:50 - Cuốn sách của tôi - Số 25,20:05 - Phim truyện - Ảo mộng - Tập 13,17:00 - Phim truyện - Công chúa Ohrora - Tập 31,23:55 - Nuôi dưỡng tâm hồn - Tập 114,,,,,,
17:35 - Hành trình 24h -  ,17:00 - Bạn của nhà nông -  ,21:30 - Sắc màu phái đẹp -  ,17:45 - Tinh hoa nghề Việt - Bánh chưng đen xứ Mường,20:30 - Tiểu phẩm hài - Ngũ long công chúa - Tập 166,,,22:00 - Chinh phục kỳ thi 2016 - Số 16,20:55 - Đằng sau những cung đường -  ,18:00 - Tin tức - Thời tiết -  ,,,,,,,
17:45 - Cuộc sống thường ngày -  ,17:40 - Nhà nông vui vẻ -  ,21:40 - Phim truyện - Mộng phù hoa - Tập 6,18:00 - Bản tin tiếng Anh -  ,20:45 - Thông tin chính sách & pháp luật -  ,,,23:00 - Thế giới diệu kỳ - Số 1,21:10 - Phim truyện - Quá khứ khép lại - Tập 40,18:45 - Chợ khéo cơm ngon -  ,,,,,,,
18:20 - Nông nghiệp sạch -  ,18:00 - Cùng bạn chữa bệnh - Phòng tránh ngộ độc rượu,22:30 - Quà tặng cuộc sống - Con ma tốt bụng,18:15 - Hành trình di sản - Tết làng,21:00 - Trang văn hóa -  ,,,23:15 - Điều kỳ diệu của khoa học - Số 37,22:00 - Phim tài liệu - Biến đổi khí hậu ở đồng bằng sông Cửu Long - diễn biến và ứng phó - Tập 8,18:55 - Tiêu dùng thông minh -  ,,,,,,,
18:30 - Chuyển động 24h -  ,18:25 - Khôn lớn mỗi ngày - Gói bánh chưng ngày tết,22:40 - Phim truyện - Người phụ nữ đương thời - Tập 14,19:00 - Bản tin tiếng Trung -  ,21:30 - Dân tộc phát triển - Nông sản vùng cao phục vụ thị trường Tết,,,23:30 - Đường đến trường - Câu chuyện trên đảo,22:30 - Tin cuối ngày -  ,19:00 - Khi các thánh xa nhà -  ,,,,,,,
19:00 - Thời sự 19h -  ,18:30 - Chuyển động 24 giờ -  ,23:30 - Chuyện đêm muộn - Hương vị tết truyền thống,19:30 - Núi sông bờ cõi - Tết sớm vùng biên,22:00 - Phim truyện - Tết vui phết - Tập 1,,,23:45 - Chuyện trường tôi - Thiết bị dạy học tự chế,22:35 - 1001 Chuyện hôn nhân - Tập 6,19:20 - Cười vui lắm -  ,,,,,,,
19:40 - Thể thao 24/7 -  ,19:00 - Phim truyện - Võ Thập Nương - Tập 1,,20:00 - Atlas Miền Trung - Atlas Miền Trung - Tập 9: Lý Sơn- Miền biển đảo,22:50 - Khám phá thế giới - Những vườn quốc gia nổi tiếng thế giới - Phần 2,,,,23:05 - Nhịp sống miền Trung - Làng nghề vào xuân,19:35 - Phim ngắn Việt Nam - Nhà nàng ở cạnh nhà tôi - Tập 27,,,,,,,
19:55 - Điểm tin -  ,19:45 - Phim truyện - Lời hồi đáp 1988 - Tập 41,,20:30 - Việt Nam và Thế giới - Ngành chăn nuôi Việt Nam đóng góp tích cực vào mục tiêu phát triển bền vững của Liên Hợp Quốc,,,,,23:20 - Nhịp cầu VTV8 -  ,19:50 - Bí quyết phong cách -  ,,,,,,,
20:00 - S - Việt Nam - Tết cùng ông bà tôi,20:15 - Vui khỏe 24/7 - Uống rượu khi ăn tiết canh có diệt được khuẩn liên cầu?,,21:00 - Bản tin tiếng Việt 21h -  ,,,,,23:35 - Khám phá thế giới - Chào buổi sáng - Tập 14,20:00 - Hương tình yêu -  ,,,,,,,
20:05 - Vì tầm vóc Việt -  ,20:25 - Khỏe thật đơn giản -  ,,21:20 - Sức sống thể thao -  ,,,,,,20:10 - Phim truyện - Mùa hoa mẫu đơn - Tập 95,,,,,,,
20:10 - Đảng trong cuộc sống hôm nay - Xử lý cơ sở yếu kém,20:40 - Phụ nữ là để yêu thương -  ,,21:25 - Thời tiết du lịch -  ,,,,,,21:00 - Tin nhanh -  ,,,,,,,
20:38 - Danh ngôn và cuộc sống - Quà của con,21:10 - Sắc màu các dân tộc -  ,,21:30 - Insight into Vietnam - Văn hóa người Mông,,,,,,21:10 - Phim truyện - Gái già lắm chiêu - Tập 25,,,,,,,
20:40 - Nói không với thực phẩm bẩn -  ,21:35 - Những người đàn ông tự tin -  ,,21:55 - S - Việt Nam -  ,,,,,,21:55 - VTV đặc biệt - Việt Nam - tim tôi,,,,,,,
20:45 - Phim truyện - Đánh tráo số phận - Tập 9,22:00 - Bản tin 22h00 -  ,,22:00 - Daily Biz -  ,,,,,,22:50 - Món ngon Phương Nam - Vị ngọt trái dừa,,,,,,,
21:30 - VTV kết nối - Bay qua miền hoa nắng,22:35 - Phim truyện - Bí mật cây cầu cũ - Tập 140,,22:15 - Phim truyện - Thảm đỏ - Tập 6,,,,,,23:05 - Xả Xì Trét -  ,,,,,,,
21:35 - Thời tiết này đi đâu -  ,23:15 - Khám phá thế giới - Biển Sulu,,23:00 - Bản tin tiếng Nga -  ,,,,,,23:30 - Ca nhạc -  ,,,,,,,
21:40 - Tài chính - Kinh doanh -  ,,,23:30 - Sinh ra từ làng - Nguyễn Tiến Thắng - Bảo tồn và phục tráng giống gà Đông Tảo,,,,,,,,,,,,,
"22:00 - Chống buôn lậu, hàng giả - bảo vệ người tiêu dùng -  ",,,,,,,,,,,,,,,,
22:05 - Hào khí ngàn năm - Nguồn gốc và ý nghĩa của Tết Nguyên Đán,,,,,,,,,,,,,,,,
22:10 - Nhớ Xuân 68 -  ,,,,,,,,,,,,,,,,
23:15 - VTV kết nối -  ,,,,,,,,,,,,,,,,
23:30 - Thế giới 24h chuyển động -  ,,,,,,,,,,,,,,,,
23:50 - Ký sự - Từ những miền quê: Đầm Thị Tường,,,,,,,,,,,,,,,,
