VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab17 - Yeah 1,VTVCab2 - PhimViet,VTVCab6 - HayTV,VTVCab7 - D Dramas,VTVLive
13:05 - Cà phê khởi nghiệp -  ,12:15 - Sống khỏe mỗi ngày - Ngăn ngừa viêm khớp dạng thấp khi trời lạnh,"17:15 - Phim truyện - Quan huyện Trịnh Bản Kiều - Tập 7, 8",13:15 - Phim truyện - Nguyệt thực - Tập 39,17:00 - Phim truyện - Hợp đồng hôn nhân - Tập 29,21:40 - Thông tin chính sách và pháp luật -  ,18:00 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,21:00 - IELTS FACE OFF - Số 11: Journey to motherland,17:00 - Phim truyện - Tiên nữ giáng trần - Tập 1,14:40 - Biệt đội tất tần tật -  ,17:00 - Trái tim trong sáng - Tập 47,17:00 - Phim truyện - Tình thù ngiệt ngã số 168,,,,"18:15 - Giai điệu kết nối - Dịch giả, Chuyên gia truyền thông Nguyễn Đình Thành"
13:10 - Phim truyện - Vẫn là vợ chồng - Tập 30,12:45 - Nhà nông vui vẻ -  ,18:50 - Thời tiết này đi đâu -  ,14:00 - Giai điệu cuộc sống - Tân cổ Lý chim quyên,17:45 - Khám phá Việt Nam -  ,22:00 - Phim truyện - Giông bão tình thù - Tập 13,18:30 - Bản tin thế hệ số -  ,21:30 - 7 phút cho bữa sáng - Burger cơm,17:50 - Thông tin - Thông báo -  ,15:00 - Dân ca Nam bộ - Đất mẹ,18:00 - Trái tim trong sáng - Tập 48,18:00 - Gameshow - Ống kính số 341,,,,18:45 - 8 IELTS - Moive
14:00 - Ký sự - Ký ức miền Tây: Làng hoa Sa Đéc,13:00 - An ninh và Cuộc sống -  ,18:55 - MV yêu thích - Tập 234: Phố xa ngỡ như thật gần,14:15 - Văn hóa - Sự kiện - Nhân vật - Ký sự Dharamshala,18:00 - Thời sự -  ,22:50 - Nẻo về nguồn cội - Cư dân cổ tiền Hạ Long,18:55 - Thời tiết -  ,21:40 - Đẹp hơn mỗi ngày - Trang điểm giúp mặt thon gọn,18:00 - Bản tin -  ,15:30 - Ký sự - Con đường đất nung - Tập 4,19:00 - Hạnh phúc là nhà - Tập 72,18:15 - Ống kính - Số 342,,,,19:30 - Nhà cười - Nhà cười – 02/3/2017
14:15 - 90 phút để hiểu -  ,13:30 - Sống như những đóa hoa - Hơi ấm mùa đông,19:00 - Thời sự -  ,15:00 - Bản tin tiếng Anh -  ,18:20 - Bản tin thời tiết -  ,23:10 - Khám phá thế giới - Schladming - Phần 2,19:00 - Phim truyện - Nhà voi còi cuối phố - Tập 30,21:50 - Cuốn sách của tôi - 7 thói quen của người thành đạt,18:40 - Kết nối miền Trung -  ,15:45 - Khi các thánh xa nhà -  ,20:00 - Kẻ phụ tình - Tập 38,18:30 - Phim việt nam - Hạnh phúc muộn màng số 02,,,,20:30 - Ghế không tựa - MC Đan Lê
15:30 - Phim tài liệu - Rừng xanh và sự sống - Tập 5,14:00 - Bạn của nhà nông - Sản xuất nông nghiệp bền vững,19:50 - VTVTrip - Du lịch cùng VTV - Quangr Nam - Mỹ Sơn: Nơi ghi dấu vàng son,15:30 - Việt Nam - Đất nước - Con người - Ước vọng ngày xuân,18:25 - Bản tin thị trường -  ,,19:45 - Bản tin thế hệ số -  ,22:00 - Chinh phục kỳ thi 2016 - Số 2: Môn Hóa Học,18:50 - 365 Biz -  ,16:00 - Bản tin -  ,21:00 - Quý bà cảnh sát - Tập 25,19:30 - Phim truyện - Câu chuyện mẹ tôi số 77,,,,21:00 - Phim truyện - Sống chung với mẹ chồng – Tập 26
16:00 - Thời sự 16h -  ,14:30 - Khám phá thế giới - Thực phẩm làm đẹp da – Tập 18,19:55 - V - Việt Nam -  ,15:55 - Trong sáng cùng tiếng Việt -  ,"18:30 - Chương trình thiếu nhi - Lặn đi Olly - Tập 93, 94",,20:00 - Chuyến đi màu xanh - Số 5,23:00 - Lăng kính tự nhiên - Số 7,18:55 - Góc bếp quê nhà - Mực rim nghệ,16:10 - Phim truyện - Giới văn phòng hoa lệ - Tập 5,22:00 - Hai người mẹ - Tập 34,20:30 - Gameshow - Lớp học vui nhộn nhí số 17,,,,21:45 - Biệt đội phong cách - Biệt đội phong cách - 15/01/2017
16:15 - Truyền hình Công thương - Ngành bán lẻ Việt Nam đẩy mạnh xúc tiến thương mại phát triển thị trường.,15:00 - Phóng sự - Một gia đình ba người mẹ Việt Nam anh hùng,20:00 - Phim truyện - Xin chào hạnh phúc - Tập 1180: Nơi con tìm về (Tập 4),16:00 - Phim truyện - Nữ cảnh sát tập sự - Tập 31,"19:00 - Phim truyện - Mặt nạ hoa hồng - Tập 35, 36",,20:30 - Phim truyện - Người đàn ông tuyệt vời - Tập 17,,19:00 - Phim truyện - Ranh giới thiện ác - Tập 58,17:00 - Phim truyện - Công chúa Ohrora - Tập 19,23:00 - Khám phá Malaysia cùng Martin Yan Phần 2 - Tập 6,21:00 - Phim truyện - Tân bát tiên truyền kỳ 21,,,,22:35 - Đường lên đỉnh Olympia - Đường lên đỉnh Olympia - 17/9/2017
16:30 - Tạp chí Kinh tế cuối tuần -  ,15:15 - Nhà nông vui vẻ -  ,20:30 - Ai là triệu phú -  ,16:45 - Giai điệu cuộc sống - Quà tặng trái tim,20:30 - Tiểu phẩm hài - Ngũ Long công chúa - Tập 152,,21:15 - Khát vọng Việt Nam - Thân Văn Huy và giấc mơ sen,,19:30 - Chuyện biển chuyện người - Làng thuyền thúng,17:50 - Phim sitcom - Oan gia bùm chéo,23:30 - Sao và Sự Kiện - Tập 293,22:00 - Ca nhạc - Siêu thị âm nhạc số 120,,,,23:15 - Chuyện đêm muộn - Chuyện đêm muộn - 06/10/2017
17:00 - Thế giới kết nối -  ,15:30 - Khám phá thế giới - Ánh sáng và bóng tối - Phần 2,21:30 - Sắc màu phái đẹp - Tập 13,17:00 - Chúng tôi là chiến sĩ -  ,20:45 - Thông tin chính sách & pháp luật -  ,,21:30 - Chúng ta là một gia đình -  ,,19:45 - Thông tin - Thông báo -  ,18:00 - Tin tức - Thời tiết -  ,23:55 - Nuôi dưỡng tâm hồn - Tập 100,23:00 - Bạn muốn hẹn hò - Số 61,,,,
17:20 - Lao động và công đoàn - Nghiên cứu khoa học trong giáo dục nghề nghiệp,16:15 - Sắc màu các dân tộc - Mùa xuân Tây Bắc,21:40 - Phim truyện - Mộng phù hoa - Tập 2,17:45 - Tinh hoa nghề Việt -  ,21:00 - Trang văn hóa -  ,,21:55 - Thời tiết -  ,,19:50 - Bản tin giá cả thị trường -  ,18:45 - Chợ khéo cơm ngon -  ,,23:30 - Ca nhạc - Ẩm thực quanh ta số 04,,,,
17:35 - Hành trình 24h -  ,16:43 - Thông báo - Ghi ơn -  ,22:30 - Quà tặng cuộc sống - Sao băng,18:00 - Bản tin tiếng Anh -  ,21:30 - Dân tộc phát triển -  ,,22:00 - 360 độ thể thao -  ,,20:00 - Món ngon mỗi ngày - Salad mì udon cá hồi xốt mè,18:55 - Tiêu dùng thông minh -  ,,23:45 - 360 độ thời trang - Số 04,,,,
17:45 - Cuộc sống thường ngày -  ,16:45 - Khám phá - Cầu Rồng - Tập 3,22:40 - Phim truyện - Người phụ nữ đương thời - Tập 6,18:15 - Vui - Khỏe - Có ích - Số 5,22:00 - Phim truyện - Vì anh yêu em - Tập 30,,22:30 - Bản tin thế hệ số -  ,,20:05 - Phim truyện - Xin lỗi! Anh yêu em - Tập 27,19:00 - Khi các thánh xa nhà -  ,,,,,,
18:20 - Nông nghiệp sạch -  ,17:00 - Bạn của nhà nông -  ,23:30 - Chuyện đêm muộn - Nét đẹp đàn ông,19:00 - Bản tin tiếng Trung -  ,22:50 - Khám phá thế giới - Vương quốc xanh - Tập 2,,23:00 - Nào cùng phong cách - Số 78,,20:55 - Đằng sau những cung đường -  ,19:20 - Cười vui lắm -  ,,,,,,
18:25 - VTVTrip - Du lịch cùng VTV - Quảng Nam - Mỹ Sơn: Nơi ghi dấu vàng son,17:45 - Nhà nông vui vẻ -  ,,19:30 - Sắc màu các dân tộc - Dấu ấn di sản,23:45 - Ca nhạc -  ,,23:30 - Thể thao - Vòng chung kết giải bóng đá vô địch U23 Châu Á: U23 Hàn Quốc - U23 Việt Nam,,21:10 - Phim truyện - Quá khứ khép lại - Tập 34,19:35 - Phim ngắn Việt Nam - Nhà nàng ở cạnh nhà tôi - Tập 17,,,,,,
18:30 - Chuyển động 24h -  ,18:00 - Cùng bạn chữa bệnh - Hội chứng Apert,,20:00 - Phim tài liệu - Bí quyết của những người Việt Nam thành công tại Nhật Bản - Tập 2,,,,,22:00 - Phim tài liệu - Biến đổi khí hậu đồng bằng sông Cửu Long - diễn biến và ứng phó - Tập 6,19:50 - Bí quyết phong cách -  ,,,,,,
19:00 - Thời sự 19h -  ,18:25 - Khôn lớn mỗi ngày - Bé không gây gổ đánh nhau,,20:30 - Việt Nam và Thế giới -  ,,,,,22:30 - Tin cuối ngày -  ,20:05 - Tám công sở -  ,,,,,,
19:40 - Thể thao 24/7 -  ,18:30 - Chuyển động 24 giờ -  ,,21:00 - Bản tin tiếng Việt 21h -  ,,,,,22:35 - 1001 Chuyện hôn nhân - Tập 4,20:15 - Phim truyện - Mùa hoa mẫu đơn - Tập 86,,,,,,
19:55 - Điểm tin -  ,19:00 - Phim truyện - Giang Nam tứ đại tài tử - Tập 29,,21:20 - Sức sống thể thao -  ,,,,,23:05 - Nhịp sống miền Trung - Sắc xuân nơi biên giới,21:00 - Tin nhanh -  ,,,,,,
"20:00 - S - Việt Nam - Những chú ""ong âu"" giữa lòng Hà Nội",19:50 - Phim truyện - Lời hồi đáp 1988 - Tập 28,,21:25 - Thời tiết du lịch -  ,,,,,23:15 - Nhịp cầu VTV8 - Số 2 - 2018,21:10 - Phim truyện - Gái già lắm chiêu - Tập 16,,,,,,
20:05 - Vì tầm vóc Việt -  ,20:25 - Vui khỏe 24/7 - Người bị chó cắn có phải tiêm phòng ?,,21:30 - Insight into Vietnam - Âm nhạc dân gian_Tập 3,,,,,23:30 - Khám phá thế giới - Chào buổi sáng - Tập 2,22:00 - Phim truyện - Hạnh phúc muộn màng - Tập 9,,,,,,
20:10 - Phim tài liệu - Tổng tiến công và nổi dậy Xuân Mậu Thân 1968 - Một bước ngoặt quyết định,20:35 - Khỏe thật đơn giản -  ,,21:55 - S - Việt Nam -  ,,,,,,22:45 - Về đất Phương Nam -  ,,,,,,
20:38 - Danh ngôn và cuộc sống - Món quà khích lệ,21:05 - Phụ nữ là để yêu thương - Phụ nữ sự nghiệp và gia đình,,22:00 - Daily Biz -  ,,,,,,23:05 - Xả Xì Trét -  ,,,,,,
20:40 - Nói không với thực phẩm bẩn -  ,21:30 - Phát triển bền vững - Hòn đảo của tương lai,,22:15 - Phim truyện - Nguyệt thực - Tập 39,,,,,,23:30 - Ca nhạc -  ,,,,,,
20:45 - Phim truyện - Đánh tráo số phận - Tập 5,21:45 - Việt Nam - Đất nước - Con người - Dấu ấn Căm-pu-chia giữa lòng Sài Gòn,,23:00 - Bản tin tiếng Nga -  ,,,,,,23:50 - Chuyện gia đình vàng -  ,,,,,,
21:30 - VTV kết nối - Tết nghĩa là hy vọng,22:00 - Bản tin 22h00 -  ,,23:30 - Sinh ra từ làng - Hoàng Mạnh Lĩnh - bóc gỗ ra tiền,,,,,,,,,,,,
21:35 - Thời tiết này đi đâu -  ,22:35 - Phim truyện - Bí mật cây cầu cũ - Tập 126,,,,,,,,,,,,,,
21:40 - Tài chính - Kinh doanh -  ,23:15 - Khám phá thế giới - Bên trong nhà máy - Tập 9,,,,,,,,,,,,,,
"22:00 - Chống buôn lậu, hàng giả - bảo vệ người tiêu dùng -  ",,,,,,,,,,,,,,,
22:05 - Hào khí ngàn năm - Chuyện Ngô Dẫn ở thương cảng Vân Đồn_phần 1,,,,,,,,,,,,,,,
22:10 - Vấn đề hôm nay -  ,,,,,,,,,,,,,,,
22:28 - MV yêu thích - Tập 235: Dịu dàng nón lá Tây Hồ,,,,,,,,,,,,,,,
22:30 - Studio 3 -  ,,,,,,,,,,,,,,,
22:45 - Đảng trong cuộc sống hôm nay - Báo chí tuyên truyền về xây dựng Đảng,,,,,,,,,,,,,,,
23:15 - Tác phẩm mới - Giọt thầm tuổi hoa,,,,,,,,,,,,,,,
23:30 - Thế giới 24h chuyển động -  ,,,,,,,,,,,,,,,
23:50 - Cổng làng tự truyện - Một ngày ở Ngòi Tu,,,,,,,,,,,,,,,
