VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV5 Tây Nguyên,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab2 - PhimViet,VTVCab6 - HayTV,VTVCab7 - D Dramas,VTVCab8 - BiBi
16:15 - Tuổi cao gương sáng - Chung sức xây dựng quê hương,15:00 - Phổ biến kiến thức - Hướng về nguồn,17:00 - S - Việt Nam -  ,16:00 - Phim cuối tuần - Ám ảnh,16:00 - Ca nhạc -  ,22:00 - Phim truyện - Hoa thiên cốt - Tập 42,17:00 - Phim truyện - Nguyệt thực - Tập 31,19:00 - Chinh phục - Số 13,18:00 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 39,17:40 - VTV kết nối -  ,11:15 - Mỗi ngày mỗi chuyện -  ,19:00 - Nhà có Xinê Việt - Cô dâu đại chiến 2,,,,21:00 - Phim hoạt hình - Pokemon  - Phần 1  - Tập 52
16:30 - Cảm ơn cuộc đời - Ngôi nhà may mắn của mẹ Tim,15:15 - Nhà nông vui vẻ -  ,"17:15 - Phim truyện - Mãi mãi tuổi thanh xuân - Tập 83, 84",17:45 - Từ những miền quê - Cây bồn bồn ở Cà Mau,16:30 - Văn học nghệt thuật - Sức trẻ một nhà hát,23:00 - Khám phá thế giới - Hồ sơ chưa giải mã - Phần 6,17:45 - Khám phá Việt Nam -  ,19:45 - VTV kết nối -  ,18:10 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 40,17:50 - Thông tin - Thông báo -  ,11:30 - Tin tức -  ,21:00 - Nhanh như chớp - Tập 8,,,,21:30 - Ngôi sao Bibi - Số 26
16:50 - Những đứa trẻ thông thái -  ,15:30 - Nhật Bản ngày nay -  ,18:50 - Tôi yêu Việt Nam -  ,18:00 - Bản tin tiếng Anh -  ,17:00 - Phim truyện - Đường lên Điện Biên - Tập 16,23:45 - Chuyện xưa tích cũ - 1050 năm nhà nước Đại Cồ Việt - Tập 2,18:00 - Thời sự -  ,20:00 - Truyền hình trực tiếp - Bảo vệ môi trường trong hoạt động du lịch,18:30 - Trường học VTV7 (Trung học) - Follow us - Số 17: Love; Con đường nghề nghiệp - Số 27: Chăm sóc sắc đẹp,18:00 - Bản tin -  ,11:50 - Cơm ấm nhà mình -  ,22:30 - Sao thế giới - Tập 149,,,,22:00 - Phim hoạt hình - Cô bé bướng bỉnh  - Tập 20
17:00 - Thế giới kết nối -  ,16:15 - An sinh xã hội - Liên thông trong giáo dục nghề nghiệp,19:00 - Thời sự -  ,18:15 - Tinh hoa võ thuật - Các bài quyền đặc sắc của Hội võ Thiên Môn Đạo,17:45 - Khám phá Việt Nam -  ,,18:20 - Bản tin thời tiết -  ,21:30 - Trên từng cây số - Số 4,19:00 - Trường học VTV7 (Tiểu học) - Sáng tạo 102 - Số 12: Tranh chất liệu; Học cùng con - Số 13: Dinh dưỡng,18:40 - Gặp gỡ cuối tuần -  ,12:00 - Phim truyện - Khoảng trống diệu kỳ của thời gian - Tập 7,23:00 - Ca sĩ bí ẩn - Tập 3,,,,22:30 - Phim hoạt hình - Huyền thoại một anh hùng  - Tập 8
17:10 - Khám phá Việt Nam - Khu bảo tồn đất ngập nước Láng Sen,16:25 - Kỹ năng thoát hiểm - Lạc rừng,19:55 - V - Việt Nam -  ,"18:30 - Xin chào, Việt Nam - Xin chào, Việt Nam",18:00 - Thời sự -  ,,18:23 - Nông nghiệp xanh Tây Nguyên -  ,21:55 - Thời tiết -  ,19:30 - Những người bạn cầu vồng - Cầu vồng - Tập 2,18:50 - 365 Biz -  ,12:55 - Chuyện gia đình vàng -  ,,,,,23:00 - Phim hoạt hình - Messy hay thắc mắc  - Tập 17
"17:25 - Chống buôn lậu, hàng giả - bảo vệ người tiêu dùng -  ",16:43 - Thông báo - Ghi ơn -  ,20:00 - Quý ông đại chiến -  ,19:00 - Bản tin tiếng Trung -  ,18:20 - Bản tin thời tiết -  ,,18:35 - Chương trình thiếu nhi - Khoảng trời tuổi thơ,22:00 - 360 độ thể thao -  ,19:50 - Bài học làm người - Tập 13: Cây ngọc lan trong vườn,19:00 - Phim truyện - Lao công bí ẩn - Tập 12,13:00 - Phim truyện - Quỹ đen của chồng - Tập 27,,,,,23:30 - Phim hoạt hình - Sam siêu đẳng  - Tập 44
17:35 - Việc tử tế -  ,16:45 - Chân trời khoa học -  ,21:00 - Bótay.kom -  ,19:30 - Góc nhìn -  ,18:25 - Bản tin thị trường -  ,,"19:00 - Phim truyện - Sức mạnh của sự phản bội - Tập 63, 64",22:30 - Chúng ta là một gia đình -  ,20:00 - Ngày xưa cổ tích - Số 8: Sự tích trầu cau,19:30 - Cảm ơn cuộc đời - Cuộc sống là sẻ chia,13:50 - Gặp nhau để cười -  ,,,,,
17:45 - Cuộc sống thường ngày -  ,17:15 - Sáng kiến - Giải pháp -  ,21:15 - Trời sinh một cặp -  ,20:00 - Du lịch và Ẩm thực - Gia Lai - nét đẹp Tây Nguyên,18:30 - Chương trình thiếu nhi - Vầng trăng của em,,20:30 - Góc thư giãn - Phố trọ Luxubu - Tập 22,23:00 - Nào cùng phong cách - Số 128,20:15 - Ú òa - Số 7,19:45 - Ký sự - Theo chiều dài đất nước - Tập 8,14:00 - Hòa điệu đất Chín Rồng - Quân vương và thần,,,,,
18:20 - Nông nghiệp sạch -  ,17:45 - Năng lượng - Sự chuyển hóa kỳ diệu - Tái sử dụng tro xỉ ở nhiệt điện than,23:00 - Quà tặng cuộc sống - Bánh rán bọc đường,20:30 - Núi sông bờ cõi - Bảo tồn dân tộc Rục Quảng Bình,"19:00 - Phim truyện - Vóng xoáy số phận - Tập 29, 30",,20:40 - Nhịp cầu y tế - Chùm ngây giúp phòng ngừa loãng xương,23:30 - Thể thao - Vòng 9 Giải bóng đá VĐQG 2018: HAGL - SLNA,20:30 - Bay lên những ước mơ -  ,20:00 - Món ngon mỗi ngày - Chạo chay sả cây,15:30 - VTV kết nối -  ,,,,,
18:30 - Chuyển động 24h -  ,18:00 - Quý hơn vàng - Chăm sóc vùng kín sau điều trị viêm lộ tuyến cổ tử cung,23:10 - Chuyện đêm muộn - Chọn đi đường khó,21:00 - Bản tin tiếng Việt 21h -  ,20:30 - Góc thư giãn - Phố trọ Luxubu - Tập 25,,20:45 - Phim tài liệu - Biển không bạc,,21:00 - IELTS FACE OFF - Số 12: Family,20:05 - Phim truyện - Mặt trái tình yêu - Tập 80,15:40 - Siêu mẫu nhí -  ,,,,,
19:00 - Thời sự 19h -  ,18:30 - Chuyển động 24 giờ -  ,,21:20 - Sức sống thể thao -  ,20:40 - Nhịp cầu y tế - Chùm ngây giúp phòng ngừa loãng xương,,"21:15 - Việt nam, đất nước, con người - Sài Gòn thật khác",,21:30 - Đường đến trường - Kiên quyết,20:55 - Khỏe Vui - Bệnh béo phì,16:00 - Bản tin -  ,,,,,
19:55 - Điểm tin -  ,19:00 - Phim truyện - Chuyện tình nàng Tiểu Thiện - Tập 25,,21:25 - Thời tiết du lịch -  ,20:45 - Thông  tin chính sách và pháp luật -  ,,21:30 - Sinh ra từ làng - Vũ Văn Phóng và mô hình trồng thanh long ruột đỏ,,21:45 - Đổi mới sáng tạo - Số 15,21:10 - Thoát khỏi cạm bẫy - Nghiện game online,16:10 - Phim truyện - Mẹ nuôi - Tập 26,,,,,
"20:00 - S - Việt Nam - Thanh Thuỷ, làng bích hoạ 3D",19:50 - Sống vui - Cách phục hồi làn da - Phần 1,,21:30 - Bizline - Điểm sáng từ một nền kinh tế đang già hóa,21:00 - Nhịp sống VTV5 -  ,,22:00 - Phim truyện - Tôi thuê một người tình - Tập 30,,22:00 - Chinh phục kỳ thi 2018 - Số 28,21:45 - Nhịp sống miền Trung - Kết nối văn hóa du lịch Việt - Hàn,16:55 - 365 Biz -  ,,,,,
20:05 - Vì tầm vóc Việt -  ,19:55 - Đẹp 24/7 - Khám phá những kĩ thuật cơ bản trong bơi lội,,22:00 - Week in Review -  ,21:30 - Sổ tay nội trợ - Cà Ri Gà,,22:45 - Khám phá thế giới - Sắc màu Nhật Bản: Tàu Shinkangsen,,23:00 - Kết nối nhà trường và doanh nghiệp - Số 5,22:00 - Sắc màu các dân tộc - Bản giao hưởng đa sắc màu,17:00 - Phim tài liệu - Đi ra từ nhân loại,,,,,
20:10 - Giai điệu tự hào - Gala Giai điệu tự hào,20:00 - Truyền hình trực tiếp sự kiện - Trình diễn pháo hoa,,22:10 - S - Việt Nam -  ,21:45 - Thanh âm Việt - Sắc màu non nước Cao Bằng,,23:45 - Ca nhạc -  ,,23:30 - Người truyền cảm hứng -  ,22:30 - Tin cuối ngày -  ,17:30 - Bí mật món ngon -  ,,,,,
22:05 - Thanh âm cuộc sống - Sóng đôi,21:30 - Khám phá - Thủy điện Trị An,,22:15 - Phim truyện - Ranh giới thiện ác - Tập 3,22:00 - Phim truyện - Cô nàng xinh đẹp - Tập 16,,,,23:45 - Giai điệu cuộc sống -  ,22:35 - Người nông dân hiện đại - Hương vị miền Tây,17:50 - Phim sitcom - Oan gia bùm chéo,,,,,
22:30 - Studio 3 -  ,21:45 - Phát triển bền vững - Hiệp sỹ môi trường,,23:00 - Bản tin tiếng Nga -  ,22:45 - Khám phá thế giới - Con đường cổ xưa - Tập 3,,,,,23:15 - Khám phá Việt Nam - Áo bông chần,18:00 - Tin tức - Thời tiết -  ,,,,,
22:45 - Tác phẩm mới - Chợ quê,22:00 - Bản tin 22h00 -  ,,23:30 - Thế giới tuổi thơ - Vầng trăng của em,23:30 - Ca nhạc -  ,,,,,23:30 - Khám phá thế giới - Những bí ẩn của xe hơi - Tập 12,18:45 - Lắm người nhiều ma -  ,,,,,
23:00 - Văn học nghệ thuật - Người thuộc về mây trắng,22:40 - Phát triển bền vững - Giải pháp trữ nước tại Kenya,,,,,,,,,19:00 - Tiêu dùng thông minh -  ,,,,,
23:30 - Thế giới 24h chuyển động -  ,23:00 - Khám phá thế giới - Trái đất nhìn từ trên cao - Tập 4,,,,,,,,,19:05 - X-Show - Trải nghiệm huấn luyện làm phi công.,,,,,
23:50 - Ký sự - Ký ức miền Tây: Rau muống đồng,23:45 - Phóng sự - Làng cổ Lý Hòa,,,,,,,,,19:25 - Bếp quê -  ,,,,,
,,,,,,,,,,19:35 - Làng cười cười cả làng -  ,,,,,
,,,,,,,,,,19:50 - Thẩm mỹ văn minh -  ,,,,,
,,,,,,,,,,20:05 - Chuyện của sao -  ,,,,,
,,,,,,,,,,20:15 - Tình khúc vượt thời gian -  ,,,,,
,,,,,,,,,,21:50 - Hương tình yêu -  ,,,,,
,,,,,,,,,,22:00 - Thanh xuân gia đình -  ,,,,,
,,,,,,,,,,22:30 - Cẩm nang sức khỏe -  ,,,,,
,,,,,,,,,,22:40 - 8 Xi Nê -  ,,,,,
,,,,,,,,,,23:05 - Đấu trường ẩm thực -  ,,,,,
,,,,,,,,,,23:30 - Ca nhạc -  ,,,,,
,,,,,,,,,,23:50 - Chuyện gia đình vàng -  ,,,,,
